School Attendance after Grade 3 (6 - 24 yo),Number of Health Facility,Occurence of Armed Conflict,Household with Concrete Walls Proportion,Access to Electricity Proportion,Access to Treated Water Proportion,Owned House and Lot Proportion,Has Copy Birth Certificate Proportion 6 - 24 yo,Married Proportion 6 - 24 yo,Overseas Worker in Family Proportion
3,1,1,0.4399690162664601,0.8663212435233161,0.7775483870967742,0.5684701009578048,0.493766748223232,0.06988934187536401,0.050808314087759814
4,1,1,0.4939301972685888,0.9567233384853168,0.9945904173106646,0.1213292117465224,0.9298188874514876,0.06058652916532387,0.08118361153262517
2,1,1,0.07497962510187449,0.3080684596577017,0.04645476772616137,0.09942950285248574,0.5944767441860465,0.11417697431018076,0.12795436022819887
2,1,1,0.10067114093959732,0.5964467005076142,0.9847715736040608,0.3739424703891709,0.381104033970276,0.09894366197183098,0.11083123425692697
3,1,1,0.3348498635122839,1.0,0.9981785063752276,0.9034608378870674,0.6870578443612152,0.044620517097581316,0.03275705186533212
3,1,1,0.5716154349247874,0.9299405155320556,0.9153998678122934,0.5723727693324521,0.786816854401335,0.15800415800415804,0.097911227154047
4,1,1,0.4263157894736842,0.9875222816399288,0.9715302491103204,0.3404634581105169,0.9802130898021308,0.05235204855842185,0.048494983277591976
4,1,1,0.5727198027937551,0.9908713692946058,0.932780082987552,0.35684647302904565,0.984375,0.08432022738038844,0.06737880032867707
4,2,1,0.5942857142857143,0.9904761904761904,0.9961904761904762,0.52,0.9092769440654844,0.06788866259334693,0.05523809523809524
4,1,1,0.3998441153546376,0.9937597503900156,0.9984399375975039,0.5460218408736349,0.9941709844559584,0.08692852543464262,0.08665105386416863
3,2,1,0.565428670600486,0.9837482710926694,0.8015214384508991,0.2513831258644537,0.8181418522860492,0.06899550659515871,0.12798339674852993
4,1,1,0.2878411910669975,0.8796526054590571,0.7704714640198511,0.2084367245657568,0.713593616414933,0.07814269535673839,0.13681592039800994
3,1,1,0.29195804195804204,0.9449781659388646,0.5275109170305677,0.3074235807860262,0.6979674796747968,0.06822262118491923,0.09781659388646287
4,2,1,0.8253968253968254,0.9902080783353732,0.9681762545899631,0.15177478580171358,0.9599456890699252,0.04739336492890995,0.07448107448107448
4,1,1,0.4735472679965308,0.9930615784908932,0.9973980919340848,0.14570685169124026,0.9053521126760564,0.04279279279279279,0.07538994800693241
2,1,1,0.4696691176470588,0.9453197405004634,0.9712696941612604,0.5505097312326228,0.6215327717279638,0.16860821581851626,0.07674632352941177
4,1,1,0.7224157955865272,0.9929245283018868,0.9929245283018868,0.5200471698113207,0.96028880866426,0.0803886925795053,0.11382113821138212
3,1,1,0.6666666666666666,0.987434554973822,0.7497382198952879,0.4387434554973822,0.9661687170474516,0.07142857142857142,0.1953204476093591
4,1,1,0.6779411764705883,0.9252958579881656,0.9874260355029586,0.7300295857988166,0.9157699443413728,0.0627214741318214,0.1280353200883002
3,1,1,0.5859078590785908,0.9912758996728462,0.8876772082878953,0.2639040348964013,0.9340062111801242,0.08499095840867993,0.07796426637791012
4,1,1,0.5990691489361702,0.9418374091209516,0.9847984137475216,0.5228023793787178,0.8792349726775956,0.12745361656359236,0.10046265697290152
3,1,1,0.4127167630057804,0.9646990740740741,0.9502314814814816,0.3153935185185185,0.9403268719118206,0.06219557886849007,0.0968299711815562
3,3,1,0.4421288874639308,0.9736079819761828,0.9417444480205986,0.3173479240424847,0.8257869771453212,0.093318136486679,0.11993620414673048
4,1,1,0.8204245553643144,0.9804934021801492,0.9839357429718876,0.678714859437751,0.9540098821740784,0.05479955866127253,0.12564543889845095
4,1,1,0.7309322033898306,0.9798728813559322,0.9788135593220338,0.6864406779661016,0.9699398797595192,0.08349146110056926,0.11122881355932204
4,1,1,0.7478368355995055,0.9206939281288724,0.9814126394052044,0.3878562577447336,0.7578034682080925,0.10659025787965616,0.09765142150803464
