Bgy_Code,Number of Health Facility,Occurence of Armed Conflict,Household with Concrete Walls Proportion,Access to Electricity Proportion,Access to Treated Water Proportion,Owned House and Lot Proportion,Has Copy Birth Certificate Proportion 6 - 24 yo,Married Proportion 6 - 24 yo,School Attendance after Grade 3 (6 - 24 yo),Overseas Worker in Family Proportion,Distance to nearest health facility,Percentage of working 15 - 19 yo,Number of High Schools,Number of Elementary Schools and Below
156611005,0,1,0.02127659574468085,0.9787234042553192,0.9617021276595744,0.20425531914893616,0.957345971563981,0.07582938388625593,0.7037617554858934,0.4085106382978723,0.6546264667703288,0.06,0.0,0.0
156611006,0,1,0.005714285714285714,0.08571428571428573,0.028571428571428567,0.21714285714285714,0.8394648829431438,0.02010050251256281,0.6843853820598007,0.1657142857142857,0.6480379823119007,0.11,0.0,0.0
156611007,0,1,0.0703125,0.01171875,0.01953125,0.98046875,0.9710365853658536,0.0624048706240487,0.6435045317220544,0.01953125,0.6499480693232479,0.19,1.0,1.0
156611008,1,1,0.10702341137123746,0.9297658862876256,0.7725752508361204,0.5886287625418061,0.9375,0.11948529411764705,0.7358834244080146,0.1939799331103679,0.6551283922278148,0.12,0.0,1.0
156611009,0,1,0.05202312138728324,0.5317919075144508,0.3757225433526011,1.0,0.9227941176470588,0.1236749116607774,0.5916955017301038,0.05202312138728324,0.6516198303502934,0.25,0.0,1.0
156611010,1,1,0.16728624535315986,0.7415730337078652,0.7153558052434457,0.3146067415730337,0.9897435897435898,0.1076923076923077,0.7237851662404092,0.1021897810218978,0.6540515264654049,0.14,0.0,1.0
156611011,0,1,0.02572347266881029,0.9807073954983924,1.0,0.9967845659163987,0.9949494949494948,0.04671717171717172,0.733921815889029,0.009584664536741214,0.6555714525134188,0.1,0.0,1.0
156611012,0,1,0.025157232704402517,0.9559748427672956,1.0,0.06289308176100629,0.9949238578680204,0.15816326530612246,0.7461928934010152,0.025157232704402517,0.6546479008634304,0.11,0.0,1.0
156611013,0,1,0.09947643979057592,0.6544502617801047,0.1256544502617801,0.9947643979057592,0.95,0.02368421052631579,0.6292428198433421,0.010471204188481676,0.6471718375137224,0.05,0.0,1.0
156611014,1,1,0.4891846921797005,0.8966087675765095,0.8511166253101737,0.9851116625310172,0.9905482041587902,0.05800376647834275,0.7485074626865672,0.130686517783292,0.6485515709873227,0.04,1.0,4.0
