Pro_Name,Pro_Code,Bgy_Name,Bgy_Code
Lanao Del Sur,PH153600000,Tataya,PH153602056
Lanao Del Sur,PH153600000,Abaga,PH153603001
Lanao Del Sur,PH153600000,Poblacion (Balindong),PH153603005
Lanao Del Sur,PH153600000,Pantaragoo,PH153603006
Lanao Del Sur,PH153600000,Bantoga Wato,PH153603007
Lanao Del Sur,PH153600000,Barit,PH153603008
Lanao Del Sur,PH153600000,Bubong,PH153603009
Lanao Del Sur,PH153600000,Bubong Cadapaan,PH153603011
Lanao Del Sur,PH153600000,Borakis,PH153603013
Lanao Del Sur,PH153600000,Bualan,PH153603014
Lanao Del Sur,PH153600000,Cadapaan,PH153603015
Lanao Del Sur,PH153600000,Cadayonan,PH153603016
Lanao Del Sur,PH153600000,Kaluntay,PH153603018
Lanao Del Sur,PH153600000,Dadayag,PH153603021
Lanao Del Sur,PH153600000,Dado,PH153603022
Lanao Del Sur,PH153600000,Dibarusan,PH153603024
Lanao Del Sur,PH153600000,Dilausan,PH153603025
Lanao Del Sur,PH153600000,Dimarao,PH153603026
Lanao Del Sur,PH153600000,Ingud,PH153603027
Lanao Del Sur,PH153600000,Lalabuan,PH153603029
Lanao Del Sur,PH153600000,Lilod,PH153603031
Lanao Del Sur,PH153600000,Lumbayao,PH153603032
Lanao Del Sur,PH153600000,Limbo,PH153603033
Lanao Del Sur,PH153600000,Lumbac Lalan,PH153603035
Lanao Del Sur,PH153600000,Lumbac Wato,PH153603036
Lanao Del Sur,PH153600000,Magarang,PH153603037
Lanao Del Sur,PH153600000,Nusa Lumba Ranao,PH153603041
Lanao Del Sur,PH153600000,Padila,PH153603042
Lanao Del Sur,PH153600000,Pagayawan,PH153603043
Lanao Del Sur,PH153600000,Paigoay,PH153603044
Lanao Del Sur,PH153600000,Raya,PH153603046
Lanao Del Sur,PH153600000,Salipongan,PH153603047
Lanao Del Sur,PH153600000,Talub,PH153603050
Lanao Del Sur,PH153600000,Tomarompong,PH153603051
Lanao Del Sur,PH153600000,Tantua Raya,PH153603052
Lanao Del Sur,PH153600000,Tuka Bubong,PH153603053
Lanao Del Sur,PH153600000,Bolinsong,PH153603054
Lanao Del Sur,PH153600000,Lati,PH153603055
Lanao Del Sur,PH153600000,Malaig,PH153603056
Lanao Del Sur,PH153600000,Bagoaingud,PH153604003
Lanao Del Sur,PH153600000,Bairan (Pob.),PH153604004
Lanao Del Sur,PH153600000,Bandingun,PH153604005
Lanao Del Sur,PH153600000,Biabi,PH153604006
Lanao Del Sur,PH153600000,Bialaan,PH153604007
Lanao Del Sur,PH153600000,Cadayonan,PH153604009
Lanao Del Sur,PH153600000,Lumbac Cadayonan,PH153604010
Lanao Del Sur,PH153600000,Lalapung Central,PH153604011
Lanao Del Sur,PH153600000,Condaraan Pob. (Condaraan Dimadap),PH153604012
Lanao Del Sur,PH153600000,Cormatan,PH153604013
Lanao Del Sur,PH153600000,Ilian,PH153604014
Lanao Del Sur,PH153600000,Lalapung Proper (Pob.),PH153604015
Lanao Del Sur,PH153600000,Bubong Lilod,PH153604017
Lanao Del Sur,PH153600000,Linao,PH153604018
Lanao Del Sur,PH153600000,Linuk (Pob.),PH153604019
Lanao Del Sur,PH153600000,Liong,PH153604020
Lanao Del Sur,PH153600000,Lumbac,PH153604021
Lanao Del Sur,PH153600000,Mimbalawag,PH153604022
Lanao Del Sur,PH153600000,Maliwanag,PH153604024
Lanao Del Sur,PH153600000,Mapantao,PH153604025
Lanao Del Sur,PH153600000,Cadingilan Occidental,PH153604027
Lanao Del Sur,PH153600000,Cadingilan Oriental,PH153604028
Lanao Del Sur,PH153600000,Palao,PH153604030
Lanao Del Sur,PH153600000,Pama-an,PH153604031
Lanao Del Sur,PH153600000,Pamacotan,PH153604032
Lanao Del Sur,PH153600000,Pantar,PH153604033
Lanao Del Sur,PH153600000,Parao,PH153604034
Lanao Del Sur,PH153600000,Patong,PH153604035
Lanao Del Sur,PH153600000,Porotan,PH153604036
Lanao Del Sur,PH153600000,Rantian,PH153604037
Lanao Del Sur,PH153600000,Raya Cadayonan,PH153604038
Lanao Del Sur,PH153600000,Rinabor (Pob.),PH153604039
Lanao Del Sur,PH153600000,Sapa,PH153604040
Lanao Del Sur,PH153600000,Samporna (Pob.),PH153604041
Lanao Del Sur,PH153600000,Silid,PH153604042
Lanao Del Sur,PH153600000,Sugod,PH153604043
Lanao Del Sur,PH153600000,Sultan Pandapatan,PH153604044
Lanao Del Sur,PH153600000,Sumbag (Pob.),PH153604045
Lanao Del Sur,PH153600000,Tagoranao,PH153604046
Lanao Del Sur,PH153600000,Tangcal,PH153604047
Lanao Del Sur,PH153600000,Tangcal Proper (Pob.),PH153604048
Lanao Del Sur,PH153600000,Tuca (Pob.),PH153604049
Lanao Del Sur,PH153600000,Tomarompong,PH153604050
Lanao Del Sur,PH153600000,Tomongcal Ligi,PH153604051
Lanao Del Sur,PH153600000,Torogan,PH153604052
Lanao Del Sur,PH153600000,Lalapung Upper,PH153604053
Lanao Del Sur,PH153600000,Gandamato,PH153604054
Lanao Del Sur,PH153600000,Bubong Raya,PH153604055
Lanao Del Sur,PH153600000,Poblacion (Bayang),PH153604056
Lanao Del Sur,PH153600000,Badak,PH153605001
Lanao Del Sur,PH153600000,Baguiangun,PH153605002
Lanao Del Sur,PH153600000,Balut Maito,PH153605003
Lanao Del Sur,PH153600000,Basak,PH153605004
Lanao Del Sur,PH153600000,Bubong,PH153605005
Lanao Del Sur,PH153600000,Bubonga-Ranao,PH153605006
Lanao Del Sur,PH153600000,Dansalan Dacsula,PH153605009
Lanao Del Sur,PH153600000,Ingud,PH153605010
Lanao Del Sur,PH153600000,Kialilidan,PH153605011
Lanao Del Sur,PH153600000,Lumbac,PH153605012
Lanao Del Sur,PH153600000,Macaguiling,PH153605014
Lanao Del Sur,PH153600000,Madaya,PH153605015
Lanao Del Sur,PH153600000,Magonaya,PH153605016
Lanao Del Sur,PH153600000,Maindig,PH153605017
Lanao Del Sur,PH153600000,Masolun,PH153605018
Lanao Del Sur,PH153600000,Olama,PH153605019
Lanao Del Sur,PH153600000,Pagalamatan (Pob.),PH153605020
Lanao Del Sur,PH153600000,Pantar,PH153605021
Lanao Del Sur,PH153600000,Picalilangan,PH153605022
Lanao Del Sur,PH153600000,Picotaan,PH153605023
Lanao Del Sur,PH153600000,Pindolonan,PH153605024
Lanao Del Sur,PH153600000,Poblacion,PH153605025
Lanao Del Sur,PH153600000,Soldaroro,PH153605028
Lanao Del Sur,PH153600000,Tambac,PH153605030
Lanao Del Sur,PH153600000,Timbangan,PH153605033
Lanao Del Sur,PH153600000,Tuca,PH153605034
Lanao Del Sur,PH153600000,Bagoaingud,PH153606002
Lanao Del Sur,PH153600000,Bansayan,PH153606003
Lanao Del Sur,PH153600000,Basingan,PH153606004
Lanao Del Sur,PH153600000,Batangan,PH153606005
Lanao Del Sur,PH153600000,Bualan,PH153606006
