Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,labels
Lanao Del Sur,PH153600000,Barorao,PH153609033,0 ns
Lanao Del Sur,PH153600000,Barua,PH153601005,0 ns
Lanao Del Sur,PH153600000,Basagad,PH153623003,0 ns
Lanao Del Sur,PH153600000,Basak,PH153605004,0 ns
Lanao Del Sur,PH153600000,Basak,PH153613006,3 cold spot
Lanao Del Sur,PH153600000,Basak,PH153621005,0 ns
Lanao Del Sur,PH153600000,Basak Maito,PH153625018,0 ns
Lanao Del Sur,PH153600000,Basak Malutlut,PH153617066,1 hot spot
Lanao Del Sur,PH153600000,Basayungun,PH153612008,0 ns
Lanao Del Sur,PH153600000,Basingan,PH153606004,0 ns
Lanao Del Sur,PH153600000,Batal-Punud,PH153616106,0 ns
Lanao Del Sur,PH153600000,Batangan,PH153606005,0 ns
Lanao Del Sur,PH153600000,Batangan,PH153625004,0 ns
Lanao Del Sur,PH153600000,Bato,PH153613007,0 ns
Lanao Del Sur,PH153600000,Bato Batoray,PH153609004,0 ns
Lanao Del Sur,PH153600000,Bato-bato,PH153634008,0 ns
Lanao Del Sur,PH153600000,Batuan,PH153602004,0 ns
Lanao Del Sur,PH153600000,Baugan,PH153611011,0 ns
Lanao Del Sur,PH153600000,Bawang,PH153614005,0 ns
Lanao Del Sur,PH153600000,Baya,PH153609019,0 ns
Lanao Del Sur,PH153600000,Bayabao,PH153624009,3 cold spot
Lanao Del Sur,PH153600000,Bayabao Poblacion,PH153607044,0 ns
Lanao Del Sur,PH153600000,Bayog,PH153638004,3 cold spot
Lanao Del Sur,PH153600000,Beruar,PH153626058,0 ns
Lanao Del Sur,PH153600000,Beta,PH153628006,0 ns
Lanao Del Sur,PH153600000,Beta,PH153641002,0 ns
Lanao Del Sur,PH153600000,Betayan,PH153615019,0 ns
Lanao Del Sur,PH153600000,Beyaba-Damag,PH153617010,1 hot spot
Lanao Del Sur,PH153600000,Biabe,PH153614006,0 ns
Lanao Del Sur,PH153600000,Biabi,PH153604006,0 ns
Lanao Del Sur,PH153600000,Biala-an,PH153620011,0 ns
Lanao Del Sur,PH153600000,Bialaan,PH153604007,3 cold spot
Lanao Del Sur,PH153600000,Biasong,PH153635007,0 ns
Lanao Del Sur,PH153600000,Bitayan,PH153631004,0 ns
Lanao Del Sur,PH153600000,Bito Buadi Itowa,PH153617012,2 low outlier
Lanao Del Sur,PH153600000,Bito Buadi Parba,PH153617013,1 hot spot
Lanao Del Sur,PH153600000,Bo-ot,PH153630007,1 hot spot
Lanao Del Sur,PH153600000,Bobo,PH153621006,0 ns
Lanao Del Sur,PH153600000,Bocalan,PH153626001,0 ns
Lanao Del Sur,PH153600000,Boganga,PH153617016,0 ns
Lanao Del Sur,PH153600000,Bolao,PH153634004,4 high outlier
Lanao Del Sur,PH153600000,Bolawan,PH153631005,0 ns
Lanao Del Sur,PH153600000,Bolinsong,PH153603054,0 ns
Lanao Del Sur,PH153600000,Bolinsong,PH153623005,0 ns
Lanao Del Sur,PH153600000,Bonga,PH153631006,0 ns
Lanao Del Sur,PH153600000,Bongabong,PH153639003,0 ns
Lanao Del Sur,PH153600000,Boniga,PH153615017,0 ns
Lanao Del Sur,PH153600000,Borakis,PH153603013,0 ns
Lanao Del Sur,PH153600000,Boring,PH153623006,0 ns
Lanao Del Sur,PH153600000,Boriongan,PH153627006,3 cold spot
Lanao Del Sur,PH153600000,Borocot,PH153634007,0 ns
Lanao Del Sur,PH153600000,Borowa,PH153627007,3 cold spot
Lanao Del Sur,PH153600000,Borrowa,PH153634009,3 cold spot
Lanao Del Sur,PH153600000,Boto Ambolong,PH153617017,0 ns
Lanao Del Sur,PH153600000,Boto Ragondingan,PH153633042,3 cold spot
Lanao Del Sur,PH153600000,Botud,PH153634014,0 ns
Lanao Del Sur,PH153600000,Buad,PH153612011,0 ns
Lanao Del Sur,PH153600000,Buad Lumbac,PH153611019,0 ns
Lanao Del Sur,PH153600000,Buadi Alao,PH153624013,0 ns
Lanao Del Sur,PH153600000,Buadi Alawang,PH153629005,0 ns
Lanao Del Sur,PH153600000,Buadi Amao,PH153627009,3 cold spot
Lanao Del Sur,PH153600000,Buadi Amloy,PH153618089,0 ns
Lanao Del Sur,PH153600000,Buadi Amunta,PH153627010,0 ns
Lanao Del Sur,PH153600000,Buadi Amunud,PH153627070,3 cold spot
Lanao Del Sur,PH153600000,Buadi Arorao,PH153627011,0 ns
Lanao Del Sur,PH153600000,Buadi Atopa,PH153627012,3 cold spot
Lanao Del Sur,PH153600000,Buadi Babai,PH153624012,3 cold spot
Lanao Del Sur,PH153600000,Buadi Dayomangga,PH153627013,3 cold spot
Lanao Del Sur,PH153600000,Buadi Dico,PH153629006,0 ns
Lanao Del Sur,PH153600000,Buadi Dingun,PH153627008,3 cold spot
Lanao Del Sur,PH153600000,Buadi Oloc,PH153624014,0 ns
Lanao Del Sur,PH153600000,Buadi Ongcalo,PH153627014,0 ns
Lanao Del Sur,PH153600000,Buadi Sacayo (Green),PH153617048,1 hot spot
Lanao Del Sur,PH153600000,Buadi-Abala,PH153619006,0 ns
Lanao Del Sur,PH153600000,Buadi-Bayawa,PH153619007,0 ns
Lanao Del Sur,PH153600000,Buadi-Insuba,PH153619008,0 ns
Lanao Del Sur,PH153600000,Buadiangkay,PH153634011,0 ns
Lanao Del Sur,PH153600000,Buadiawani,PH153601006,0 ns
Lanao Del Sur,PH153600000,Buadiposo Lilod,PH153633005,3 cold spot
Lanao Del Sur,PH153600000,Buadiposo Proper,PH153633006,3 cold spot
Lanao Del Sur,PH153600000,Buadiposo Raya,PH153633025,3 cold spot
Lanao Del Sur,PH153600000,Bualan,PH153603014,0 ns
Lanao Del Sur,PH153600000,Bualan,PH153606006,3 cold spot
Lanao Del Sur,PH153600000,Bualan,PH153623008,3 cold spot
Lanao Del Sur,PH153600000,Bualan,PH153621009,0 ns
Lanao Del Sur,PH153600000,Bualan,PH153622008,0 ns
Lanao Del Sur,PH153600000,Bualan,PH153636007,0 ns
Lanao Del Sur,PH153600000,Buayaan Lilod,PH153624091,3 cold spot
Lanao Del Sur,PH153600000,Buayaan Madanding,PH153624054,3 cold spot
Lanao Del Sur,PH153600000,Buayaan Raya,PH153624081,0 ns
Lanao Del Sur,PH153600000,Bubong,PH153603009,0 ns
Lanao Del Sur,PH153600000,Bubong,PH153634051,0 ns
Lanao Del Sur,PH153600000,Bubong,PH153601007,0 ns
Lanao Del Sur,PH153600000,Bubong,PH153605005,0 ns
Lanao Del Sur,PH153600000,Bubong,PH153613008,0 ns
Lanao Del Sur,PH153600000,Bubong,PH153619010,0 ns
Lanao Del Sur,PH153600000,Bubong,PH153625037,0 ns
Lanao Del Sur,PH153600000,Bubong,PH153633007,3 cold spot
Lanao Del Sur,PH153600000,Bubong,PH153629004,0 ns
Lanao Del Sur,PH153600000,Bubong Bayabao,PH153634013,0 ns
Lanao Del Sur,PH153600000,Bubong Cadapaan,PH153603011,0 ns
Lanao Del Sur,PH153600000,Bubong Dangiprampiai,PH153624092,0 ns
Lanao Del Sur,PH153600000,Bubong Ilian,PH153621010,3 cold spot
Lanao Del Sur,PH153600000,Bubong Lilod,PH153604017,3 cold spot
Lanao Del Sur,PH153600000,Bubong Lumbac,PH153617021,0 ns
Lanao Del Sur,PH153600000,Bubong Macadar,PH153612050,0 ns
Lanao Del Sur,PH153600000,Bubong Madanding (Bubong),PH153616107,0 ns
Lanao Del Sur,PH153600000,Bubong Raya,PH153604055,3 cold spot
Lanao Del Sur,PH153600000,Bubong Tawa-an,PH153621007,0 ns
Lanao Del Sur,PH153600000,Bubong Uyaan,PH153614007,0 ns
Lanao Del Sur,PH153600000,Bubong-Dimunda,PH153622006,0 ns
Lanao Del Sur,PH153600000,Bubonga Cadayonan,PH153617019,0 ns
Lanao Del Sur,PH153600000,Bubonga Didagun,PH153606008,0 ns
Lanao Del Sur,PH153600000,Bubonga Guilopa,PH153619005,0 ns
Lanao Del Sur,PH153600000,Bubonga Lilod Madaya,PH153617015,1 hot spot
Lanao Del Sur,PH153600000,Bubonga Mamaanun,PH153621008,3 cold spot
Lanao Del Sur,PH153600000,Bubonga Marawi,PH153617022,1 hot spot
Lanao Del Sur,PH153600000,Bubonga Pagalamatan,PH153617014,0 ns
