Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Number Of Households,Light Source,Value
Lanao Del Sur,PH153600000,Lalapung Proper (Pob.),PH153604015,68,Electricity,0
Lanao Del Sur,PH153600000,Bubong Lilod,PH153604017,99,Electricity,2
Lanao Del Sur,PH153600000,Linao,PH153604018,94,Electricity,6
Lanao Del Sur,PH153600000,Linuk (Pob.),PH153604019,96,Electricity,0
Lanao Del Sur,PH153600000,Liong,PH153604020,53,Electricity,0
Lanao Del Sur,PH153600000,Lumbac,PH153604021,60,Electricity,0
Lanao Del Sur,PH153600000,Mimbalawag,PH153604022,51,Electricity,0
Lanao Del Sur,PH153600000,Maliwanag,PH153604024,129,Electricity,1
Lanao Del Sur,PH153600000,Mapantao,PH153604025,55,Electricity,0
Lanao Del Sur,PH153600000,Cadingilan Occidental,PH153604027,103,Electricity,2
Lanao Del Sur,PH153600000,Cadingilan Oriental,PH153604028,68,Electricity,1
Lanao Del Sur,PH153600000,Palao,PH153604030,59,Electricity,4
Lanao Del Sur,PH153600000,Pama-an,PH153604031,63,Electricity,2
Lanao Del Sur,PH153600000,Pamacotan,PH153604032,37,Electricity,0
Lanao Del Sur,PH153600000,Pantar,PH153604033,63,Electricity,0
Lanao Del Sur,PH153600000,Parao,PH153604034,114,Electricity,5
Lanao Del Sur,PH153600000,Patong,PH153604035,46,Electricity,0
Lanao Del Sur,PH153600000,Porotan,PH153604036,58,Electricity,0
Lanao Del Sur,PH153600000,Rantian,PH153604037,96,Electricity,0
Lanao Del Sur,PH153600000,Raya Cadayonan,PH153604038,80,Electricity,0
Lanao Del Sur,PH153600000,Rinabor (Pob.),PH153604039,81,Electricity,0
Lanao Del Sur,PH153600000,Sapa,PH153604040,67,Electricity,0
Lanao Del Sur,PH153600000,Samporna (Pob.),PH153604041,68,Electricity,0
Lanao Del Sur,PH153600000,Silid,PH153604042,57,Electricity,0
Lanao Del Sur,PH153600000,Sugod,PH153604043,64,Electricity,0
Lanao Del Sur,PH153600000,Sultan Pandapatan,PH153604044,82,Electricity,3
Lanao Del Sur,PH153600000,Sumbag (Pob.),PH153604045,71,Electricity,0
Lanao Del Sur,PH153600000,Tagoranao,PH153604046,64,Electricity,0
Lanao Del Sur,PH153600000,Tangcal,PH153604047,63,Electricity,0
Lanao Del Sur,PH153600000,Tangcal Proper (Pob.),PH153604048,83,Electricity,0
Lanao Del Sur,PH153600000,Tuca (Pob.),PH153604049,115,Electricity,0
Lanao Del Sur,PH153600000,Tomarompong,PH153604050,85,Electricity,15
Lanao Del Sur,PH153600000,Tomongcal Ligi,PH153604051,63,Electricity,0
Lanao Del Sur,PH153600000,Torogan,PH153604052,49,Electricity,0
Lanao Del Sur,PH153600000,Lalapung Upper,PH153604053,66,Electricity,0
Lanao Del Sur,PH153600000,Gandamato,PH153604054,44,Electricity,0
Lanao Del Sur,PH153600000,Bubong Raya,PH153604055,49,Electricity,0
Lanao Del Sur,PH153600000,Poblacion (Bayang),PH153604056,62,Electricity,0
Lanao Del Sur,PH153600000,Badak,PH153605001,127,Electricity,0
Lanao Del Sur,PH153600000,Baguiangun,PH153605002,127,Electricity,0
Lanao Del Sur,PH153600000,Balut Maito,PH153605003,59,Electricity,0
Lanao Del Sur,PH153600000,Basak,PH153605004,211,Electricity,0
Lanao Del Sur,PH153600000,Bubong,PH153605005,93,Electricity,1
Lanao Del Sur,PH153600000,Bubonga-Ranao,PH153605006,91,Electricity,7
Lanao Del Sur,PH153600000,Dansalan Dacsula,PH153605009,116,Electricity,16
Lanao Del Sur,PH153600000,Ingud,PH153605010,112,Electricity,0
Lanao Del Sur,PH153600000,Kialilidan,PH153605011,157,Electricity,1
Lanao Del Sur,PH153600000,Lumbac,PH153605012,112,Electricity,1
Lanao Del Sur,PH153600000,Macaguiling,PH153605014,96,Electricity,0
Lanao Del Sur,PH153600000,Madaya,PH153605015,107,Electricity,0
Lanao Del Sur,PH153600000,Magonaya,PH153605016,140,Electricity,5
Lanao Del Sur,PH153600000,Maindig,PH153605017,128,Electricity,4
Lanao Del Sur,PH153600000,Masolun,PH153605018,103,Electricity,3
Lanao Del Sur,PH153600000,Olama,PH153605019,172,Electricity,0
Lanao Del Sur,PH153600000,Pagalamatan (Pob.),PH153605020,255,Electricity,27
Lanao Del Sur,PH153600000,Pantar,PH153605021,103,Electricity,10
Lanao Del Sur,PH153600000,Picalilangan,PH153605022,120,Electricity,0
Lanao Del Sur,PH153600000,Picotaan,PH153605023,126,Electricity,0
Lanao Del Sur,PH153600000,Pindolonan,PH153605024,96,Electricity,1
Lanao Del Sur,PH153600000,Poblacion,PH153605025,336,Electricity,3
