Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Category,Total Occupied Housing Units,Material,Value
Lanao Del Sur,PH153600000,Ampao,PH153601001,Wall,92,Concrete/brick/stone,40
Lanao Del Sur,PH153600000,Bagoaingud,PH153601002,Wall,74,Concrete/brick/stone,6
Lanao Del Sur,PH153600000,Balut,PH153601004,Wall,61,Concrete/brick/stone,4
Lanao Del Sur,PH153600000,Barua,PH153601005,Wall,65,Concrete/brick/stone,6
Lanao Del Sur,PH153600000,Buadiawani,PH153601006,Wall,62,Concrete/brick/stone,34
Lanao Del Sur,PH153600000,Bubong,PH153601007,Wall,171,Concrete/brick/stone,5
Lanao Del Sur,PH153600000,Dilabayan,PH153601008,Wall,105,Concrete/brick/stone,37
Lanao Del Sur,PH153600000,Dipatuan,PH153601009,Wall,129,Concrete/brick/stone,40
Lanao Del Sur,PH153600000,Daramoyod,PH153601010,Wall,38,Concrete/brick/stone,3
Lanao Del Sur,PH153600000,Gandamato,PH153601011,Wall,78,Concrete/brick/stone,14
Lanao Del Sur,PH153600000,Gurain,PH153601012,Wall,53,Concrete/brick/stone,0
Lanao Del Sur,PH153600000,Ilian,PH153601013,Wall,57,Concrete/brick/stone,38
Lanao Del Sur,PH153600000,Lama,PH153601014,Wall,40,Concrete/brick/stone,12
Lanao Del Sur,PH153600000,Liawao,PH153601015,Wall,34,Concrete/brick/stone,13
Lanao Del Sur,PH153600000,Lumbaca-Ingud,PH153601016,Wall,113,Concrete/brick/stone,8
Lanao Del Sur,PH153600000,Madanding,PH153601018,Wall,114,Concrete/brick/stone,27
Lanao Del Sur,PH153600000,Orong,PH153601019,Wall,81,Concrete/brick/stone,3
Lanao Del Sur,PH153600000,Pindolonan,PH153601020,Wall,56,Concrete/brick/stone,33
Lanao Del Sur,PH153600000,Poblacion I,PH153601021,Wall,100,Concrete/brick/stone,22
Lanao Del Sur,PH153600000,Poblacion II,PH153601022,Wall,62,Concrete/brick/stone,3
Lanao Del Sur,PH153600000,Raya,PH153601023,Wall,77,Concrete/brick/stone,0
Lanao Del Sur,PH153600000,Rorowan,PH153601024,Wall,55,Concrete/brick/stone,13
Lanao Del Sur,PH153600000,Sugod,PH153601025,Wall,159,Concrete/brick/stone,17
Lanao Del Sur,PH153600000,Tambo,PH153601026,Wall,62,Concrete/brick/stone,0
Lanao Del Sur,PH153600000,Tuka I,PH153601027,Wall,82,Concrete/brick/stone,3
Lanao Del Sur,PH153600000,Tuka II,PH153601028,Wall,67,Concrete/brick/stone,26
Lanao Del Sur,PH153600000,Banago,PH153602002,Wall,487,Concrete/brick/stone,305
Lanao Del Sur,PH153600000,Barorao,PH153602003,Wall,338,Concrete/brick/stone,87
Lanao Del Sur,PH153600000,Batuan,PH153602004,Wall,208,Concrete/brick/stone,18
Lanao Del Sur,PH153600000,Budas,PH153602006,Wall,143,Concrete/brick/stone,15
Lanao Del Sur,PH153600000,Calilangan,PH153602007,Wall,157,Concrete/brick/stone,2
Lanao Del Sur,PH153600000,Igabay,PH153602008,Wall,194,Concrete/brick/stone,15
Lanao Del Sur,PH153600000,Lalabuan,PH153602010,Wall,183,Concrete/brick/stone,15
Lanao Del Sur,PH153600000,Magulalung Occidental,PH153602011,Wall,174,Concrete/brick/stone,23
Lanao Del Sur,PH153600000,Magulalung Oriental,PH153602012,Wall,126,Concrete/brick/stone,10
Lanao Del Sur,PH153600000,Molimoc,PH153602013,Wall,130,Concrete/brick/stone,19
Lanao Del Sur,PH153600000,Narra,PH153602014,Wall,119,Concrete/brick/stone,2
Lanao Del Sur,PH153600000,Plasan,PH153602015,Wall,128,Concrete/brick/stone,13
Lanao Del Sur,PH153600000,Purakan,PH153602016,Wall,219,Concrete/brick/stone,15
Lanao Del Sur,PH153600000,Buisan (Bengabeng),PH153602019,Wall,55,Concrete/brick/stone,21
Lanao Del Sur,PH153600000,Buenavista,PH153602022,Wall,90,Concrete/brick/stone,2
Lanao Del Sur,PH153600000,Lorenzo,PH153602027,Wall,269,Concrete/brick/stone,115
Lanao Del Sur,PH153600000,Lower Itil,PH153602029,Wall,146,Concrete/brick/stone,11
Lanao Del Sur,PH153600000,Macao,PH153602032,Wall,104,Concrete/brick/stone,31
Lanao Del Sur,PH153600000,Poblacion (Balabagan),PH153602039,Wall,279,Concrete/brick/stone,68
Lanao Del Sur,PH153600000,Upper Itil,PH153602043,Wall,183,Concrete/brick/stone,6
Lanao Del Sur,PH153600000,Bagoaingud,PH153602050,Wall,187,Concrete/brick/stone,2
Lanao Del Sur,PH153600000,Ilian,PH153602051,Wall,106,Concrete/brick/stone,1
Lanao Del Sur,PH153600000,Lumbac,PH153602052,Wall,149,Concrete/brick/stone,104
Lanao Del Sur,PH153600000,Matampay,PH153602053,Wall,114,Concrete/brick/stone,68
Lanao Del Sur,PH153600000,Matanog,PH153602054,Wall,125,Concrete/brick/stone,62
Lanao Del Sur,PH153600000,Pindolonan,PH153602055,Wall,183,Concrete/brick/stone,8
Lanao Del Sur,PH153600000,Tataya,PH153602056,Wall,89,Concrete/brick/stone,4
Lanao Del Sur,PH153600000,Abaga,PH153603001,Wall,98,Concrete/brick/stone,7
Lanao Del Sur,PH153600000,Poblacion (Balindong),PH153603005,Wall,177,Concrete/brick/stone,62
Lanao Del Sur,PH153600000,Pantaragoo,PH153603006,Wall,59,Concrete/brick/stone,15
Lanao Del Sur,PH153600000,Bantoga Wato,PH153603007,Wall,106,Concrete/brick/stone,29
Lanao Del Sur,PH153600000,Barit,PH153603008,Wall,83,Concrete/brick/stone,26
Lanao Del Sur,PH153600000,Bubong,PH153603009,Wall,119,Concrete/brick/stone,83
Lanao Del Sur,PH153600000,Bubong Cadapaan,PH153603011,Wall,121,Concrete/brick/stone,40
Lanao Del Sur,PH153600000,Borakis,PH153603013,Wall,65,Concrete/brick/stone,10
Lanao Del Sur,PH153600000,Bualan,PH153603014,Wall,214,Concrete/brick/stone,32
Lanao Del Sur,PH153600000,Cadapaan,PH153603015,Wall,98,Concrete/brick/stone,56
Lanao Del Sur,PH153600000,Cadayonan,PH153603016,Wall,73,Concrete/brick/stone,54
Lanao Del Sur,PH153600000,Kaluntay,PH153603018,Wall,31,Concrete/brick/stone,6
Lanao Del Sur,PH153600000,Dadayag,PH153603021,Wall,96,Concrete/brick/stone,43
Lanao Del Sur,PH153600000,Dado,PH153603022,Wall,91,Concrete/brick/stone,9
Lanao Del Sur,PH153600000,Dibarusan,PH153603024,Wall,100,Concrete/brick/stone,14
Lanao Del Sur,PH153600000,Dilausan,PH153603025,Wall,174,Concrete/brick/stone,61
Lanao Del Sur,PH153600000,Dimarao,PH153603026,Wall,37,Concrete/brick/stone,14
Lanao Del Sur,PH153600000,Ingud,PH153603027,Wall,103,Concrete/brick/stone,50
Lanao Del Sur,PH153600000,Lalabuan,PH153603029,Wall,124,Concrete/brick/stone,32
Lanao Del Sur,PH153600000,Lilod,PH153603031,Wall,237,Concrete/brick/stone,231
Lanao Del Sur,PH153600000,Lumbayao,PH153603032,Wall,170,Concrete/brick/stone,76
Lanao Del Sur,PH153600000,Limbo,PH153603033,Wall,77,Concrete/brick/stone,8
Lanao Del Sur,PH153600000,Lumbac Lalan,PH153603035,Wall,90,Concrete/brick/stone,18
Lanao Del Sur,PH153600000,Lumbac Wato,PH153603036,Wall,106,Concrete/brick/stone,37
Lanao Del Sur,PH153600000,Magarang,PH153603037,Wall,58,Concrete/brick/stone,8
Lanao Del Sur,PH153600000,Nusa Lumba Ranao,PH153603041,Wall,106,Concrete/brick/stone,14
Lanao Del Sur,PH153600000,Padila,PH153603042,Wall,36,Concrete/brick/stone,26
Lanao Del Sur,PH153600000,Pagayawan,PH153603043,Wall,84,Concrete/brick/stone,17
Lanao Del Sur,PH153600000,Paigoay,PH153603044,Wall,94,Concrete/brick/stone,55
Lanao Del Sur,PH153600000,Raya,PH153603046,Wall,129,Concrete/brick/stone,90
Lanao Del Sur,PH153600000,Salipongan,PH153603047,Wall,136,Concrete/brick/stone,101
Lanao Del Sur,PH153600000,Talub,PH153603050,Wall,46,Concrete/brick/stone,4
Lanao Del Sur,PH153600000,Tomarompong,PH153603051,Wall,48,Concrete/brick/stone,13
Lanao Del Sur,PH153600000,Tantua Raya,PH153603052,Wall,147,Concrete/brick/stone,25
Lanao Del Sur,PH153600000,Tuka Bubong,PH153603053,Wall,87,Concrete/brick/stone,60
Lanao Del Sur,PH153600000,Bolinsong,PH153603054,Wall,53,Concrete/brick/stone,9
Lanao Del Sur,PH153600000,Lati,PH153603055,Wall,158,Concrete/brick/stone,111
Lanao Del Sur,PH153600000,Malaig,PH153603056,Wall,129,Concrete/brick/stone,19
Lanao Del Sur,PH153600000,Bagoaingud,PH153604003,Wall,46,Concrete/brick/stone,1
Lanao Del Sur,PH153600000,Bairan (Pob.),PH153604004,Wall,85,Concrete/brick/stone,14
Lanao Del Sur,PH153600000,Bandingun,PH153604005,Wall,34,Concrete/brick/stone,9
Lanao Del Sur,PH153600000,Biabi,PH153604006,Wall,23,Concrete/brick/stone,14
Lanao Del Sur,PH153600000,Bialaan,PH153604007,Wall,49,Concrete/brick/stone,2
Lanao Del Sur,PH153600000,Cadayonan,PH153604009,Wall,20,Concrete/brick/stone,0
Lanao Del Sur,PH153600000,Lumbac Cadayonan,PH153604010,Wall,44,Concrete/brick/stone,3
