Bgy_Code,labels
PH153631009,0 ns
PH153631010,0 ns
PH153619013,3 cold spot
PH153632008,0 ns
PH153641003,0 ns
PH153615071,0 ns
PH153602007,0 ns
PH153611021,0 ns
PH153622012,0 ns
PH153641004,0 ns
PH153617029,0 ns
PH153617030,0 ns
PH153615029,0 ns
PH153631032,3 cold spot
PH153622013,0 ns
PH153634015,3 cold spot
PH153616022,0 ns
PH153616009,0 ns
PH153616018,0 ns
PH153634016,3 cold spot
PH153628012,3 cold spot
PH153615020,0 ns
PH153609034,0 ns
PH153629010,0 ns
PH153609005,3 cold spot
PH153631011,0 ns
PH153627018,3 cold spot
PH153618002,3 cold spot
PH153627019,3 cold spot
PH153611026,0 ns
PH153606011,0 ns
PH153636009,3 cold spot
PH153616025,0 ns
PH153616005,3 cold spot
PH153616035,0 ns
PH153616040,0 ns
PH153629011,0 ns
PH153630009,0 ns
PH153615021,0 ns
PH153630010,0 ns
PH153607016,0 ns
PH153637005,0 ns
PH153625008,0 ns
PH153604012,0 ns
PH153615022,0 ns
PH153604013,3 cold spot
PH153610003,0 ns
PH153619014,3 cold spot
PH153611027,0 ns
PH153616026,0 ns
PH153603021,3 cold spot
PH153603022,3 cold spot
PH153624024,3 cold spot
PH153612017,0 ns
PH153638006,3 cold spot
PH153639004,0 ns
PH153617033,1 hot spot
PH153636010,3 cold spot
PH153612018,3 cold spot
PH153619016,0 ns
PH153606054,3 cold spot
PH153612021,0 ns
PH153618023,3 cold spot
PH153613012,3 cold spot
PH153629012,0 ns
PH153624027,3 cold spot
PH153617035,0 ns
PH153619018,3 cold spot
PH153633010,3 cold spot
PH153605009,0 ns
PH153623012,3 cold spot
PH153609031,0 ns
PH153623013,3 cold spot
PH153601010,0 ns
PH153624028,0 ns
PH153626062,0 ns
PH153627021,3 cold spot
PH153617080,0 ns
PH153617036,0 ns
PH153633043,3 cold spot
PH153628015,0 ns
PH153617037,0 ns
PH153613015,0 ns
PH153611031,0 ns
PH153615023,0 ns
PH153623014,3 cold spot
PH153613013,3 cold spot
PH153620015,3 cold spot
PH153606023,3 cold spot
PH153613014,3 cold spot
PH153603024,0 ns
PH153614010,3 cold spot
PH153606014,3 cold spot
PH153601008,3 cold spot
PH153610029,3 cold spot
PH153627022,3 cold spot
PH153603025,0 ns
PH153622015,0 ns
PH153624030,0 ns
PH153625009,3 cold spot
PH153626007,0 ns
PH153641005,3 cold spot
PH153634019,0 ns
PH153607019,0 ns
PH153610030,3 cold spot
PH153625031,3 cold spot
PH153629014,0 ns
PH153634020,3 cold spot
PH153636012,3 cold spot
PH153611035,3 cold spot
PH153610007,3 cold spot
PH153638007,3 cold spot
PH153617039,1 hot spot
PH153641006,3 cold spot
PH153606015,3 cold spot
PH153603026,0 ns
PH153619019,3 cold spot
PH153606058,3 cold spot
PH153622014,0 ns
PH153627024,3 cold spot
PH153606017,3 cold spot
PH153610008,0 ns
PH153628016,3 cold spot
PH153640003,0 ns
PH153606019,3 cold spot
PH153601009,0 ns
PH153631012,0 ns
PH153633044,3 cold spot
PH153636015,0 ns
PH153624032,3 cold spot
PH153607022,0 ns
PH153622018,0 ns
PH153610009,0 ns
PH153617040,0 ns
PH153617042,0 ns
PH153635015,3 cold spot
PH153617043,0 ns
PH153630011,0 ns
PH153617044,0 ns
PH153630012,0 ns
PH153617045,0 ns
PH153637006,3 cold spot
PH153621011,3 cold spot
PH153613016,3 cold spot
PH153609006,3 cold spot
PH153610035,0 ns
PH153611039,3 cold spot
PH153617046,0 ns
PH153622019,0 ns
PH153623015,3 cold spot
PH153624033,3 cold spot
PH153625010,3 cold spot
PH153628040,3 cold spot
PH153617068,0 ns
PH153611040,0 ns
PH153611041,0 ns
PH153601011,3 cold spot
PH153604054,3 cold spot
PH153627028,3 cold spot
PH153628041,3 cold spot
PH153632015,3 cold spot
PH153633011,0 ns
PH153630014,0 ns
PH153638009,3 cold spot
PH153626064,3 cold spot
PH153618032,0 ns
PH153618034,3 cold spot
PH153609007,3 cold spot
PH153620019,3 cold spot
PH153628017,3 cold spot
PH153606022,3 cold spot
PH153619022,3 cold spot
PH153617049,0 ns
PH153601012,3 cold spot
PH153613017,3 cold spot
PH153629016,0 ns
PH153602008,0 ns
PH153634024,3 cold spot
PH153602051,0 ns
PH153601013,0 ns
PH153604014,3 cold spot
PH153616108,0 ns
PH153614032,3 cold spot
PH153619024,3 cold spot
PH153620020,3 cold spot
PH153621040,3 cold spot
PH153627029,3 cold spot
PH153635016,3 cold spot
PH153621013,3 cold spot
PH153615027,3 cold spot
PH153603027,0 ns
PH153605010,0 ns
PH153623018,3 cold spot
PH153638012,0 ns
PH153632019,3 cold spot
PH153632018,0 ns
PH153639005,0 ns
PH153616023,0 ns
PH153616109,3 cold spot
PH153616047,0 ns
PH153615072,0 ns
PH153639006,0 ns
PH153636017,3 cold spot
PH153630016,0 ns
PH153630017,0 ns
PH153633013,3 cold spot
