Pro_Name,Pro_Code,Bgy_Name,Bgy_Code,Variable,Value
Lanao Del Sur,PH153600000,Cadapaan,PH153603015,Number of School,1
Lanao Del Sur,PH153600000,Cadayonan,PH153603016,Number of School,8
Lanao Del Sur,PH153600000,Dadayag,PH153603021,Number of School,1
Lanao Del Sur,PH153600000,Dado,PH153603022,Number of School,2
Lanao Del Sur,PH153600000,Dilausan,PH153603025,Number of School,5
Lanao Del Sur,PH153600000,Ingud,PH153603027,Number of School,2
Lanao Del Sur,PH153600000,Lilod,PH153603031,Number of School,4
Lanao Del Sur,PH153600000,Lumbayao,PH153603032,Number of School,1
Lanao Del Sur,PH153600000,Limbo,PH153603033,Number of School,1
Lanao Del Sur,PH153600000,Lumbac Wato,PH153603036,Number of School,1
Lanao Del Sur,PH153600000,Pagayawan,PH153603043,Number of School,4
Lanao Del Sur,PH153600000,Paigoay,PH153603044,Number of School,1
Lanao Del Sur,PH153600000,Salipongan,PH153603047,Number of School,4
Lanao Del Sur,PH153600000,Talub,PH153603050,Number of School,3
Lanao Del Sur,PH153600000,Tomarompong,PH153603051,Number of School,3
Lanao Del Sur,PH153600000,Tantua Raya,PH153603052,Number of School,1
Lanao Del Sur,PH153600000,Tuka Bubong,PH153603053,Number of School,1
Lanao Del Sur,PH153600000,Lati,PH153603055,Number of School,2
Lanao Del Sur,PH153600000,Malaig,PH153603056,Number of School,2
Lanao Del Sur,PH153600000,Bandingun,PH153604005,Number of School,1
Lanao Del Sur,PH153600000,Biabi,PH153604006,Number of School,1
Lanao Del Sur,PH153600000,Bialaan,PH153604007,Number of School,1
Lanao Del Sur,PH153600000,Cormatan,PH153604013,Number of School,2
Lanao Del Sur,PH153600000,Lalapung Proper (Pob.),PH153604015,Number of School,1
Lanao Del Sur,PH153600000,Bubong Lilod,PH153604017,Number of School,1
Lanao Del Sur,PH153600000,Linao,PH153604018,Number of School,1
Lanao Del Sur,PH153600000,Linuk (Pob.),PH153604019,Number of School,1
Lanao Del Sur,PH153600000,Mimbalawag,PH153604022,Number of School,1
Lanao Del Sur,PH153600000,Maliwanag,PH153604024,Number of School,5
Lanao Del Sur,PH153600000,Mapantao,PH153604025,Number of School,6
Lanao Del Sur,PH153600000,Palao,PH153604030,Number of School,5
Lanao Del Sur,PH153600000,Pamacotan,PH153604032,Number of School,1
Lanao Del Sur,PH153600000,Pantar,PH153604033,Number of School,5
Lanao Del Sur,PH153600000,Parao,PH153604034,Number of School,2
Lanao Del Sur,PH153600000,Patong,PH153604035,Number of School,1
Lanao Del Sur,PH153600000,Rantian,PH153604037,Number of School,4
Lanao Del Sur,PH153600000,Rinabor (Pob.),PH153604039,Number of School,2
Lanao Del Sur,PH153600000,Sapa,PH153604040,Number of School,1
Lanao Del Sur,PH153600000,Samporna (Pob.),PH153604041,Number of School,1
Lanao Del Sur,PH153600000,Sultan Pandapatan,PH153604044,Number of School,2
Lanao Del Sur,PH153600000,Sumbag (Pob.),PH153604045,Number of School,1
Lanao Del Sur,PH153600000,Tagoranao,PH153604046,Number of School,2
Lanao Del Sur,PH153600000,Tangcal,PH153604047,Number of School,5
Lanao Del Sur,PH153600000,Tuca (Pob.),PH153604049,Number of School,1
Lanao Del Sur,PH153600000,Bubong Raya,PH153604055,Number of School,1
Lanao Del Sur,PH153600000,Badak,PH153605001,Number of School,1
Lanao Del Sur,PH153600000,Balut Maito,PH153605003,Number of School,1
Lanao Del Sur,PH153600000,Basak,PH153605004,Number of School,2
Lanao Del Sur,PH153600000,Bubonga-Ranao,PH153605006,Number of School,1
Lanao Del Sur,PH153600000,Kialilidan,PH153605011,Number of School,1
Lanao Del Sur,PH153600000,Macaguiling,PH153605014,Number of School,2
Lanao Del Sur,PH153600000,Madaya,PH153605015,Number of School,5
Lanao Del Sur,PH153600000,Magonaya,PH153605016,Number of School,1
Lanao Del Sur,PH153600000,Maindig,PH153605017,Number of School,1
Lanao Del Sur,PH153600000,Masolun,PH153605018,Number of School,2
Lanao Del Sur,PH153600000,Olama,PH153605019,Number of School,1
Lanao Del Sur,PH153600000,Pagalamatan (Pob.),PH153605020,Number of School,4
Lanao Del Sur,PH153600000,Picalilangan,PH153605022,Number of School,3
Lanao Del Sur,PH153600000,Picotaan,PH153605023,Number of School,1
Lanao Del Sur,PH153600000,Poblacion,PH153605025,Number of School,11
Lanao Del Sur,PH153600000,Soldaroro,PH153605028,Number of School,1
Lanao Del Sur,PH153600000,Tambac,PH153605030,Number of School,5
Lanao Del Sur,PH153600000,Timbangan,PH153605033,Number of School,1
Lanao Del Sur,PH153600000,Tuca,PH153605034,Number of School,2
Lanao Del Sur,PH153600000,Bansayan,PH153606003,Number of School,3
Lanao Del Sur,PH153600000,Batangan,PH153606005,Number of School,2
Lanao Del Sur,PH153600000,Poblacion (Bubong),PH153606007,Number of School,2
Lanao Del Sur,PH153600000,Carigongan,PH153606011,Number of School,1
Lanao Del Sur,PH153600000,Dimapatoy,PH153606015,Number of School,1
Lanao Del Sur,PH153600000,Dibarosan,PH153606023,Number of School,2
Lanao Del Sur,PH153600000,Malungun,PH153606028,Number of School,5
Lanao Del Sur,PH153600000,Matampay Dimarao,PH153606031,Number of School,1
Lanao Del Sur,PH153600000,Montiaan,PH153606033,Number of School,1
Lanao Del Sur,PH153600000,Panalawan,PH153606038,Number of School,1
Lanao Del Sur,PH153600000,Pendogoan,PH153606041,Number of School,2
Lanao Del Sur,PH153600000,Polayagan,PH153606045,Number of School,1
Lanao Del Sur,PH153600000,Rogero,PH153606049,Number of School,1
Lanao Del Sur,PH153600000,Sunggod,PH153606052,Number of School,3
Lanao Del Sur,PH153600000,Dimayon,PH153606058,Number of School,4
Lanao Del Sur,PH153600000,Butig Proper,PH153607012,Number of School,1
Lanao Del Sur,PH153600000,Cabasaran,PH153607013,Number of School,2
Lanao Del Sur,PH153600000,Coloyan Tambo,PH153607016,Number of School,1
Lanao Del Sur,PH153600000,Dilimbayan,PH153607019,Number of School,4
Lanao Del Sur,PH153600000,Dolangan,PH153607022,Number of School,1
Lanao Del Sur,PH153600000,Bayabao Poblacion,PH153607044,Number of School,3
